EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
Manufacture of other non-metallic mineral products n.e.c.,Manufacture of mortars,C,23.64,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395
Manufacture of other non-metallic mineral products n.e.c.,Manufacture of fibre cement,C,23.65,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395
Manufacture of other non-metallic mineral products n.e.c.,"Manufacture of other articles of concrete, plaster and cement",C,23.69,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395
Manufacture of wearing apparel; dressing and dyeing of fur (18),Manufacture of articles of fur,C,14.2,Manufacture of articles of fur,Manufacture of articles of fur,Manufacture of wearing apparel,Manufacturing,C_14_142_1420,Manufacture of articles of fur,Manufacture of articles of fur,Manufacture of wearing apparel,Manufacturing,C_14_142_1420
Processing of Food products nec,Manufacture of bread; manufacture of fresh pastry goods and cakes,C,10.71,Manufacture of bakery products,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1071,Manufacture of bakery products,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1071
Processing of Food products nec,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,C,10.72,Manufacture of bakery products,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1071,Manufacture of bakery products,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1071
Chemicals nec,Manufacture of industrial gases,C,20.11,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011
Chemicals nec,Manufacture of dyes and pigments,C,20.12,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011
Chemicals nec,Manufacture of other inorganic basic chemicals,C,20.13,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011
Chemicals nec,Manufacture of other organic basic chemicals,C,20.14,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Manufacture of basic iron and steel and of ferro-alloys,C,24.1,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Re-processing of secondary steel into new steel,Manufacture of basic iron and steel and of ferro-alloys,C,24.1,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",C,24.2,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Re-processing of secondary steel into new steel,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",C,24.2,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Cold drawing of bars,C,24.31,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Re-processing of secondary steel into new steel,Cold drawing of bars,C,24.31,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Cold rolling of narrow strip,C,24.32,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Re-processing of secondary steel into new steel,Cold rolling of narrow strip,C,24.32,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Cold forming or folding,C,24.33,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Re-processing of secondary steel into new steel,Cold forming or folding,C,24.33,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Cold drawing of wire,C,24.34,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Re-processing of secondary steel into new steel,Cold drawing of wire,C,24.34,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241_2410
Precious metals production,Precious metals production,C,24.41,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420
Re-processing of secondary preciuos metals into new preciuos metals,Precious metals production,C,24.41,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420
Aluminium production,Aluminium production,C,24.42,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420
Re-processing of secondary aluminium into new aluminium,Aluminium production,C,24.42,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420
"Lead, zinc and tin production","Lead, zinc and tin production",C,24.43,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420
"Re-processing of secondary lead into new lead, zinc and tin","Lead, zinc and tin production",C,24.43,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242_2420
