EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
Other business activities (74),Legal activities,M,69.1,Legal activities,Legal activities,Legal and accounting activities,"Professional, scientific and technical activities",M_69_691_6910,Legal activities,Legal activities,Legal and accounting activities,"Professional, scientific and technical activities",N_69_691_6910
"Recreational, cultural and sporting activities (92)",Library and archives activities,R,91.01,Library and archives activities,"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation",R_91_910_9101,Library activities,Library and archive activities,"Library, archives, museum and other cultural activities","Arts, sports and recreation",S_91_911_9111
"Insurance and pension funding, except compulsory social security (66)",Life insurance,K,65.11,Life insurance,Insurance,"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities,K_65_651_6511,Life insurance,Insurance,"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities,L_65_651_6511
"Recreational, cultural and sporting activities (92)",Performing arts,R,90.01,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900_9000,Literary creation and musical composition activities,Arts creation activities,Arts creation and performing arts activities,"Arts, sports and recreation",S_90_901_9011
"Recreational, cultural and sporting activities (92)",Support activities to performing arts,R,90.02,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900_9000,Literary creation and musical composition activities,Arts creation activities,Arts creation and performing arts activities,"Arts, sports and recreation",S_90_901_9011
"Recreational, cultural and sporting activities (92)",Artistic creation,R,90.03,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900_9000,Literary creation and musical composition activities,Arts creation activities,Arts creation and performing arts activities,"Arts, sports and recreation",S_90_901_9011
"Recreational, cultural and sporting activities (92)",Operation of arts facilities,R,90.04,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900_9000,Literary creation and musical composition activities,Arts creation activities,Arts creation and performing arts activities,"Arts, sports and recreation",S_90_901_9011
"Forestry, logging and related service activities (02)",Logging,A,2.2,Logging,Logging,Forestry and logging,"Agriculture, forestry and fishing",A_2_22_220,Logging,Logging,Forestry and logging,"Agriculture, forestry and fishing",A_02_022_0220
Manufacture of machinery and equipment n.e.c. (29),Manufacture of agricultural and forestry machinery,C,28.3,Manufacture of agricultural and forestry machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2821,Manufacture of agricultural and forestry machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2821
Manufacture of other transport equipment (35),Manufacture of air and spacecraft and related machinery,C,30.3,Manufacture of air and spacecraft and related machinery,Manufacture of air and spacecraft and related machinery,Manufacture of other transport equipment,Manufacturing,C_30_303_3030,Manufacture of air and spacecraft and related machinery,Manufacture of air and spacecraft and related machinery,Manufacture of other transport equipment,Manufacturing,C_30_303_3030
Manufacture of other non-metallic mineral products n.e.c.,Manufacture of concrete products for construction purposes,C,23.61,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395
Manufacture of other non-metallic mineral products n.e.c.,Manufacture of plaster products for construction purposes,C,23.62,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395
Manufacture of other non-metallic mineral products n.e.c.,Manufacture of ready-mixed concrete,C,23.63,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2395
